Global Volcanism Program - Volcanoes of the World 5.1.7,,,,Downloaded on 31 May 2024 at 03:19 PM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
357060,"Azul, Cerro",11960,Confirmed Eruption,Quizapu,2,?,,1967,,8,,9,,Observations: Reported,,,,,,,,-35.653,-70.761
357010,Tupungatito,14111,Confirmed Eruption,,2,,,1964,,8,,3,,Observations: Reported,,1964,,9,>,19,,-33.425,-69.797
357110,Llaima,12063,Confirmed Eruption,,2,,,1964,,7,,2,182,Observations: Reported,,,,,,,,-38.692,-71.729
357120,Villarrica,12164,Confirmed Eruption,,2,,,1964,,3,,2,,Observations: Reported,,1964,,4,,21,,-39.42,-71.93
353050,"Negra, Sierra",11711,Confirmed Eruption,Volcán Chico area & NW caldera rim,2,,,1963,,4,,13,,Observations: Reported,,1963,,5,,16,15,-0.83,-91.17
353020,Wolf,11688,Confirmed Eruption,SE flank (610 m),0,,,1963,,3,,4,,Observations: Reported,,1963,,3,>,16,,0.02,-91.35
357120,Villarrica,12163,Confirmed Eruption,Summit and upper SW flank,3,?,,1963,,2,?,25,,Observations: Reported,,1963,,9,>,21,,-39.42,-71.93
357040,Planchon-Peteroa,11943,Confirmed Eruption,Peteroa,1,,,1962,,1,,16,15,Observations: Reported,,,,,,,,-35.223,-70.568
358060,Lautaro,12319,Confirmed Eruption,Volcano Uncertain: aerial observation; possibly Lautaro,2,,,1961,,10,,16,15,Observations: Reported,,,,,,,,-49.019,-73.504
357120,Villarrica,12162,Confirmed Eruption,,1,,,1961,,7,,2,182,Observations: Reported,,,,,,,,-39.42,-71.93
357090,Copahue,12007,Confirmed Eruption,,2,,,1961,,7,,2,182,Observations: Reported,,,,,,,,-37.856,-71.183
357010,Tupungatito,11536,Confirmed Eruption,,2,,,1961,,5,,5,4,Observations: Reported,,1961,,8,>,16,15,-33.425,-69.797
353010,Fernandina,11664,Confirmed Eruption,SE flank,2,,,1961,,3,,21,1,Observations: Reported,,1961,,9,,16,15,-0.37,-91.55
358020,Calbuco,12262,Confirmed Eruption,,3,,,1961,,2,,1,,Observations: Reported,,1961,,3,>,26,,-41.33,-72.618
355020,Guallatiri,11821,Confirmed Eruption,,2,,,1960,,12,,2,,Observations: Reported,,,,,,,,-18.42,-69.092
357010,Tupungatito,10351,Confirmed Eruption,,2,,,1960,,7,,15,5,Observations: Reported,,,,,,,,-33.425,-69.797
357040,Planchon-Peteroa,11942,Confirmed Eruption,Petoroa (1889-94 crater),1,,,1960,,7,?,10,,Observations: Reported,,,,,,,,-35.223,-70.568
357020,San Jose,11922,Confirmed Eruption,,2,,,1960,,7,,2,182,Observations: Reported,,,,,,,,-33.789,-69.895
357090,Copahue,12006,Confirmed Eruption,,,,,1960,,7,,2,182,Observations: Reported,,,,,,,,-37.856,-71.183
352010,Reventador,11442,Confirmed Eruption,,3,,,1960,,6,,16,15,Observations: Reported,,,,,,,,-0.077,-77.656
357150,Puyehue-Cordon Caulle,12215,Confirmed Eruption,Cordón Caulle,3,?,,1960,,5,,24,,Observations: Reported,,1960,,7,,30,,-40.59,-72.117
358060,Lautaro,12318,Confirmed Eruption,,2,,,1959,,12,,28,,Observations: Reported,,1960,,1,,20,,-49.019,-73.504
355100,Lascar,11859,Confirmed Eruption,,2,,,1959,,11,,16,15,Observations: Reported,,1968,,1,>,31,,-23.37,-67.73
357040,Planchon-Peteroa,11941,Confirmed Eruption,Petoroa (1889-94 crater),1,,,1959,,11,,6,,Observations: Reported,,,,,,,,-35.223,-70.568
357010,Tupungatito,10350,Confirmed Eruption,,2,,,1959,,10,,16,,Observations: Reported,,,,,,,,-33.425,-69.797
355020,Guallatiri,11820,Confirmed Eruption,,2,,,1959,,7,,15,5,Observations: Reported,,,,,,,,-18.42,-69.092
357020,San Jose,11921,Confirmed Eruption,,2,,,1959,,7,,2,182,Observations: Reported,,,,,,,,-33.789,-69.895
353060,"Azul, Cerro",11726,Confirmed Eruption,East flank,2,?,,1959,,6,,29,,Observations: Reported,,1959,,7,?,31,,-0.92,-91.408
357010,Tupungatito,10349,Confirmed Eruption,,2,,,1959,,3,,26,5,Observations: Reported,,,,,,,,-33.425,-69.797
352010,Reventador,11441,Confirmed Eruption,,3,,,1958,,11,,16,15,Observations: Reported,,,,,,,,-0.077,-77.656
357120,Villarrica,12160,Confirmed Eruption,,1,,,1958,,11,,6,,Observations: Reported,,1959,,12,,21,,-39.42,-71.93
353010,Fernandina,11663,Confirmed Eruption,"SE, SW and west caldera rim",2,,,1958,,9,?,16,15,Observations: Reported,,1958,,12,>,30,,-0.37,-91.55
357010,Tupungatito,20739,Confirmed Eruption,,2,,,1958,,1,,16,15,Observations: Reported,,,,,,,,-33.425,-69.797
351060,Purace,11338,Confirmed Eruption,,2,?,,1957,,7,,2,182,Observations: Reported,,,,,,,,2.32,-76.4
353050,"Negra, Sierra",11710,Confirmed Eruption,Volcano Uncertain: Isabela Island,,,,1957,,7,,2,182,,,,,,,,,-0.83,-91.17
357120,Villarrica,12159,Confirmed Eruption,,1,,,1956,,10,,3,,Observations: Reported,,1956,,11,,16,45,-39.42,-71.93
351060,Purace,11337,Confirmed Eruption,,2,,<,1956,,7,,2,182,Observations: Reported,,,,,,,,2.32,-76.4
354020,Ubinas,10343,Confirmed Eruption,,2,,,1956,,5,,16,15,Observations: Reported,,1956,,10,,21,,-16.345,-70.8972
357110,Llaima,12061,Confirmed Eruption,Summit and SE crater,3,,,1955,,10,,22,,Observations: Reported,,1957,,11,,16,15,-38.692,-71.729
357140,Carran-Los Venados,12188,Confirmed Eruption,Carrán Maar,4,,,1955,,7,,27,,Observations: Reported,,1955,,11,,12,,-40.35,-72.07
352010,Reventador,11440,Confirmed Eruption,,2,,,1955,,7,,2,182,Observations: Reported,,,,,,,,-0.077,-77.656
353050,"Negra, Sierra",11709,Confirmed Eruption,Volcano Uncertain: originally Alcedo,2,,,1954,,11,,9,,,,,,,,,,-0.83,-91.17
355100,Lascar,11858,Confirmed Eruption,,2,?,,1954,,6,,16,15,Observations: Reported,,1954,,7,,16,15,-23.37,-67.73
353050,"Negra, Sierra",11708,Confirmed Eruption,Volcán Chico area & NW caldera rim,3,?,,1953,,8,,27,,Observations: Reported,,1954,,1,,16,15,-0.83,-91.17
353040,Alcedo,11694,Confirmed Eruption,SE flank near Cartago Bay,0,,,1953,7,7,,2,182,Observations: Reported,,,,,,,,-0.43,-91.12
355100,Lascar,11857,Confirmed Eruption,East summit crater,2,?,,1951,,11,,16,15,Observations: Reported,,1952,,2,,19,,-23.37,-67.73
354020,Ubinas,10342,Confirmed Eruption,,2,,,1951,,7,,23,8,Observations: Reported,,,,,,,,-16.345,-70.8972
353060,"Azul, Cerro",11725,Confirmed Eruption,,,,,1951,,7,,2,182,Observations: Reported,,,,,,,,-0.92,-91.408
351080,Galeras,11369,Confirmed Eruption,,2,,,1950,,1,,12,,Observations: Reported,,1950,,9,,5,,1.22,-77.37
357110,Llaima,12060,Confirmed Eruption,,2,,,1949,,9,,0,,Observations: Reported,,,,,,,,-38.692,-71.729
351060,Purace,11336,Confirmed Eruption,,2,,,1949,,5,,26,,Observations: Reported,,1949,,6,,11,,2.32,-76.4
357060,"Azul, Cerro",11959,Confirmed Eruption,Quizapu,2,?,,1949,,4,,15,5,Observations: Reported,,,,,,,,-35.653,-70.761
353060,"Azul, Cerro",11724,Confirmed Eruption,,0,,?,1949,,0,,0,,Observations: Reported,,,,,,,,-0.92,-91.408
357120,Villarrica,12157,Confirmed Eruption,,3,,,1948,,10,,9,,Observations: Reported,,1949,,2,,3,,-39.42,-71.93
353050,"Negra, Sierra",11707,Confirmed Eruption,,2,,,1948,,8,,0,,Observations: Reported,,1949,,2,?,0,,-0.83,-91.17
353060,"Azul, Cerro",11723,Confirmed Eruption,,0,,,1948,,6,,30,30,Observations: Reported,,,,,,,,-0.92,-91.408
357120,Villarrica,12156,Confirmed Eruption,,2,?,,1948,,4,,10,,Observations: Reported,,,,,,,,-39.42,-71.93
353020,Wolf,11687,Confirmed Eruption,SE flank (1200 m),2,,,1948,,1,,24,,Observations: Reported,,1948,,1,>,31,,0.02,-91.35
351060,Purace,11335,Confirmed Eruption,,2,,,1947,,4,,27,,Observations: Reported,,,,,,,,2.32,-76.4
357120,Villarrica,12155,Confirmed Eruption,,1,,,1947,,0,,0,,Observations: Reported,,,,,,,,-39.42,-71.93
357110,Llaima,12059,Confirmed Eruption,,2,,,1946,,7,,23,,Observations: Reported,,,,,,,,-38.692,-71.729
351060,Purace,11334,Confirmed Eruption,,2,,,1946,,3,,0,,Observations: Reported,,1946,,4,,0,,2.32,-76.4
357070,"Chillan, Nevados de",11988,Confirmed Eruption,Volcán Nuevo,2,?,,1946,,0,,0,,Observations: Reported,,1947,,0,,0,,-36.868,-71.378
357010,Tupungatito,11897,Confirmed Eruption,,2,,,1946,,0,,0,,Observations: Reported,,1947,,0,,0,,-33.425,-69.797
357110,Llaima,12058,Confirmed Eruption,,3,,,1945,,3,,31,,Observations: Reported,,1945,,4,,3,,-38.692,-71.729
358060,Lautaro,12317,Confirmed Eruption,,1,,,1945,,1,,15,45,Observations: Reported,,,,,,,,-49.019,-73.504
358020,Calbuco,12261,Confirmed Eruption,,,,,1945,,0,,0,,Observations: Reported,,,,,,,,-41.33,-72.618
352010,Reventador,11439,Confirmed Eruption,,3,,,1944,,2,,24,,Observations: Reported,,1944,,3,,1,,-0.077,-77.656
357090,Copahue,12005,Confirmed Eruption,,,,,1944,,0,,0,,Observations: Reported,,,,,,,,-37.856,-71.183
357110,Llaima,12057,Confirmed Eruption,,2,,,1944,,0,,0,,Observations: Reported,,,,,,,,-38.692,-71.729
353060,"Azul, Cerro",11722,Confirmed Eruption,Caldera ring fracture,3,,,1943,,4,,13,2,Observations: Reported,,1943,,5,?,11,,-0.92,-91.408
351030,"Tolima, Nevado del",11303,Confirmed Eruption,,2,,,1943,,3,,0,,Observations: Reported,,,,,,,,4.658,-75.33
357110,Llaima,12056,Confirmed Eruption,,2,,,1942,,6,,9,,Observations: Reported,,1942,,11,,0,,-38.692,-71.729
357110,Llaima,12055,Confirmed Eruption,,2,,,1941,,6,,23,,Observations: Reported,,,,,,,,-38.692,-71.729
353060,"Azul, Cerro",11719,Confirmed Eruption,East flank (Cerro de Las Animas),0,,,1940,,0,,0,,Observations: Reported,,,,,,,,-0.92,-91.408
355100,Lascar,11856,Confirmed Eruption,,2,,,1940,,0,,0,,Observations: Reported,,,,,,,,-23.37,-67.73
352050,Cotopaxi,11595,Confirmed Eruption,,2,,,1940,,0,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
352050,Cotopaxi,11594,Confirmed Eruption,,2,,,1939,,2,,2,,Observations: Reported,,,,,,,,-0.677,-78.436
357120,Villarrica,12154,Confirmed Eruption,,2,,,1938,,12,,1,30,Observations: Reported,,1939,,2,,1,30,-39.42,-71.93
357110,Llaima,12054,Confirmed Eruption,,1,,,1938,,12,,0,,Observations: Reported,,,,,,,,-38.692,-71.729
357040,Planchon-Peteroa,11940,Confirmed Eruption,Peteroa,2,,,1938,,9,,0,,Observations: Reported,,1938,,10,,0,,-35.223,-70.568
353020,Wolf,11686,Confirmed Eruption,,,,,1938,,0,,0,,Observations: Reported,,,,,,,,0.02,-91.35
357130,Mocho-Choshuenco,12186,Confirmed Eruption,El Mocho,,,,1937,,6,,16,,Observations: Reported,,,,,,,,-39.927,-72.027
354020,Ubinas,11631,Confirmed Eruption,,2,,,1937,,6,,0,,Observations: Reported,,,,,,,,-16.345,-70.8972
357040,Planchon-Peteroa,11939,Confirmed Eruption,Petoroa (south of 1889-94 crater),2,,,1937,,4,,0,,Observations: Reported,,1937,,5,,5,4,-35.223,-70.568
353010,Fernandina,11662,Confirmed Eruption,,0,,,1937,,3,,0,,Observations: Reported,,1937,,4,,0,,-0.37,-91.55
357110,Llaima,12053,Confirmed Eruption,,2,,,1937,,2,?,9,,Observations: Reported,,1937,,11,,2,,-38.692,-71.729
357090,Copahue,12004,Confirmed Eruption,,2,?,,1937,,0,,0,,Observations: Reported,,,,,,,,-37.856,-71.183
352010,Reventador,11438,Confirmed Eruption,,3,,,1936,,8,,27,,Observations: Reported,,,,,,,,-0.077,-77.656
351110,Chiles-Cerro Negro,11388,Confirmed Eruption,Volcano Uncertain: possibly Reventador,2,,,1936,,7,,17,,Observations: Reported,,,,,,,,0.817,-77.938
351080,Galeras,11367,Confirmed Eruption,,2,,,1936,,2,,9,,Observations: Reported,,1936,,8,?,27,,1.22,-77.37
357120,Villarrica,12152,Confirmed Eruption,,1,?,,1935,,12,,1,30,Observations: Reported,,1936,,6,,27,,-39.42,-71.93
357070,"Chillan, Nevados de",11986,Confirmed Eruption,West flank of Volcán Viejo,2,?,,1935,,7,,2,,Observations: Reported,,,,,,,,-36.868,-71.378
353020,Wolf,11685,Confirmed Eruption,,,,,1935,,2,,0,,Observations: Reported,,,,,,,,0.02,-91.35
352090,Sangay,11648,Confirmed Eruption,,3,,,1934,,8,,8,,Observations: Reported,,2011,,3,,2,,-2.005,-78.341
357150,Puyehue-Cordon Caulle,12214,Confirmed Eruption,Cordón Caulle,2,,,1934,,3,,6,,Observations: Reported,,,,,,,,-40.59,-72.117
357070,"Chillan, Nevados de",11985,Confirmed Eruption,Volcán Nuevo,2,?,,1934,,1,,17,,Observations: Reported,,,,,,,,-36.868,-71.378
355100,Lascar,11855,Confirmed Eruption,,2,,,1933,,10,,9,,Observations: Reported,,1933,,12,,0,,-23.37,-67.73
358060,Lautaro,12316,Confirmed Eruption,,2,?,,1933,,2,,0,,Observations: Reported,,,,,,,,-49.019,-73.504
357120,Villarrica,12151,Confirmed Eruption,,2,,,1933,,1,,5,,Observations: Reported,,1933,,1,,18,12,-39.42,-71.93
357100,Lonquimay,12014,Confirmed Eruption,,2,,,1933,,1,,4,,Observations: Reported,,,,,,,,-38.379,-71.586
357060,"Azul, Cerro",11958,Confirmed Eruption,Quizapu,2,,,1933,,0,,0,,Observations: Reported,,1938,,7,?,25,,-35.653,-70.761
353020,Wolf,11684,Confirmed Eruption,,0,,,1933,,0,,0,,Observations: Reported,,,,,,,,0.02,-91.35
357110,Llaima,12052,Confirmed Eruption,,3,,,1932,,12,,31,,Observations: Reported,,1933,,1,,5,,-38.692,-71.729
351080,Galeras,11365,Confirmed Eruption,,2,,,1932,,10,,10,,Observations: Reported,,,,,,,,1.22,-77.37
357050,Descabezado Grande,11948,Confirmed Eruption,Upper NNE slope,3,,,1932,,6,,5,5,Observations: Reported,,1933,,0,,0,,-35.58,-70.75
357110,Llaima,12051,Confirmed Eruption,,2,?,,1932,,3,,2,,Observations: Reported,,1932,,3,,2,,-38.692,-71.729
353060,"Azul, Cerro",11718,Confirmed Eruption,,1,?,,1932,,0,,0,,Observations: Reported,,,,,,,,-0.92,-91.408
358020,Calbuco,12260,Confirmed Eruption,,,,,1932,,0,,0,,Observations: Reported,,,,,,,,-41.33,-72.618
352050,Cotopaxi,11593,Confirmed Eruption,,2,,,1931,,0,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
357110,Llaima,12050,Confirmed Eruption,,2,,,1930,,7,,6,,Observations: Reported,,1930,,8,,20,,-38.692,-71.729
357120,Villarrica,12150,Confirmed Eruption,,1,,,1929,,12,,27,,Observations: Reported,,,,,,,,-39.42,-71.93
357110,Llaima,12049,Confirmed Eruption,,2,,,1929,,12,,0,,Observations: Reported,,,,,,,,-38.692,-71.729
357150,Puyehue-Cordon Caulle,12213,Confirmed Eruption,Cordón Caulle,2,,,1929,,1,,7,,Observations: Reported,,,,,,,,-40.59,-72.117
358020,Calbuco,12259,Confirmed Eruption,,3,?,,1929,,1,,6,,Observations: Reported,,1929,,1,,6,,-41.33,-72.618
352010,Reventador,11437,Confirmed Eruption,,3,,,1929,,0,,0,,Observations: Reported,,,,,,,,-0.077,-77.656
357070,"Chillan, Nevados de",11984,Confirmed Eruption,Volcán Nuevo,2,?,,1928,,11,,30,,Observations: Reported,,1929,,0,,0,,-36.868,-71.378
353070,Pinta,11721,Confirmed Eruption,,,,,1928,,0,,0,,Observations: Reported,,,,,,,,0.58,-90.75
353010,Fernandina,11661,Confirmed Eruption,South flank near Punta Mangle,0,,,1927,,12,<,13,,Observations: Reported,,,,,,,,-0.37,-91.55
357110,Llaima,12048,Confirmed Eruption,SE crater and summit crater,2,,,1927,,10,,5,,Observations: Reported,,1927,,12,,5,,-38.692,-71.729
357070,"Chillan, Nevados de",11983,Confirmed Eruption,Volcán Nuevo,2,?,,1927,,4,,10,,Observations: Reported,,,,,,,,-36.868,-71.378
357120,Villarrica,12149,Confirmed Eruption,,2,,,1927,,0,,0,,Observations: Reported,,1928,,0,,0,,-39.42,-71.93
351060,Purace,11333,Confirmed Eruption,,2,,,1927,,0,,0,,Observations: Reported,,,,,,,,2.32,-76.4
351100,Cumbal,11387,Confirmed Eruption,,2,,,1926,,12,,20,,Observations: Reported,,1926,,12,,21,,0.95,-77.87
351060,Purace,11332,Confirmed Eruption,,2,,,1926,,8,,0,,Observations: Reported,,1926,,9,,0,,2.32,-76.4
352010,Reventador,11436,Confirmed Eruption,,3,,,1926,,1,,5,4,Observations: Reported,,1926,,5,,0,,-0.077,-77.656
352050,Cotopaxi,11592,Confirmed Eruption,,2,,,1926,,0,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
353010,Fernandina,11660,Confirmed Eruption,,,,,1926,,0,,0,,Observations: Reported,,,,,,,,-0.37,-91.55
351060,Purace,11331,Confirmed Eruption,,2,,,1925,,10,,12,,Observations: Reported,,1925,,11,,5,,2.32,-76.4
353020,Wolf,11683,Confirmed Eruption,ESE flank,1,,,1925,,4,,11,,Observations: Reported,,1926,,3,>,26,,0.02,-91.35
357010,Tupungatito,11896,Confirmed Eruption,,2,,,1925,,0,,0,,Observations: Reported,,,,,,,,-33.425,-69.797
351080,Galeras,11363,Confirmed Eruption,,3,,,1924,,10,,0,,Observations: Reported,,1927,,0,,0,,1.22,-77.37
351060,Purace,11330,Confirmed Eruption,,2,,,1924,,0,,0,,Observations: Reported,,,,,,,,2.32,-76.4
351080,Galeras,11362,Confirmed Eruption,,2,,,1923,,12,,8,,Observations: Reported,,,,,,,,1.22,-77.37
357110,Llaima,12047,Confirmed Eruption,,2,,,1922,,10,,24,,Observations: Reported,,,,,,,,-38.692,-71.729
357120,Villarrica,12148,Confirmed Eruption,,2,,,1922,,10,,24,,Observations: Reported,,1922,,11,,27,20,-39.42,-71.93
352050,Cotopaxi,11591,Confirmed Eruption,,2,,,1922,,0,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
357150,Puyehue-Cordon Caulle,12212,Confirmed Eruption,Cordón Caulle-Cordillera Nevada,3,,,1921,,12,,13,,Observations: Reported,,1922,,2,,12,,-40.59,-72.117
357120,Villarrica,12146,Confirmed Eruption,,2,,,1920,,12,,10,,Observations: Reported,,1920,,12,,13,,-39.42,-71.93
358030,Huequi,12269,Confirmed Eruption,,2,,?,1920,,0,,0,,Observations: Reported,,,,,,,,-42.377,-72.578
357150,Puyehue-Cordon Caulle,12211,Confirmed Eruption,Cordón Caulle,2,,,1919,,0,,0,,Observations: Reported,,1920,,0,,0,,-40.59,-72.117
353010,Fernandina,22135,Confirmed Eruption,Cape Hammond (SW flank),0,,,1917,,5,,14,,Observations: Reported,,,,,,,,-0.37,-91.55
358020,Calbuco,12258,Confirmed Eruption,,3,?,,1917,,4,,0,,Observations: Reported,,1917,,5,,0,,-41.33,-72.618
357110,Llaima,12046,Confirmed Eruption,,2,,,1917,,2,,4,,Observations: Reported,,,,,,,,-38.692,-71.729
357030,Tinguiririca,11923,Confirmed Eruption,,1,?,,1917,,0,,0,,Observations: Reported,,,,,,,,-34.814,-70.352
352080,Tungurahua,11640,Confirmed Eruption,,4,,,1916,,3,,3,,Observations: Reported,,1925,,12,,1,30,-1.467,-78.442
357060,"Azul, Cerro",11957,Confirmed Eruption,Quizapu,5,+,,1916,,0,,0,,Observations: Reported,,1932,,4,,21,,-35.653,-70.761
351020,"Ruiz, Nevado del",11288,Confirmed Eruption,,2,,,1916,,0,,0,,Observations: Reported,,,,,,,,4.892,-75.324
357120,Villarrica,12144,Confirmed Eruption,,1,,,1915,,0,,0,,Observations: Reported,,1918,,0,,0,,-39.42,-71.93
357060,"Azul, Cerro",11956,Confirmed Eruption,Quizapu,3,,,1914,,9,,8,,Observations: Reported,,,,,,,,-35.653,-70.761
357110,Llaima,12045,Confirmed Eruption,,2,,,1914,,7,,3,,Observations: Reported,,,,,,,,-38.692,-71.729
357150,Puyehue-Cordon Caulle,12210,Confirmed Eruption,Cordón Caulle,2,,,1914,,2,,8,,Observations: Reported,,,,,,,,-40.59,-72.117
357070,"Chillan, Nevados de",11981,Confirmed Eruption,Volcán Nuevo,2,,,1914,,0,,0,,Observations: Reported,,,,,,,,-36.868,-71.378
355020,Guallatiri,11819,Confirmed Eruption,,2,,,1913,,0,,0,,Observations: Reported,,,,,,,,-18.42,-69.092
355030,Isluga,14103,Confirmed Eruption,,2,,,1913,,0,,0,,Observations: Reported,,,,,,,,-19.15,-68.83
352010,Reventador,11435,Confirmed Eruption,,3,,,1912,,2,,0,,Observations: Reported,,1912,,3,,0,,-0.077,-77.656
357060,"Azul, Cerro",11954,Confirmed Eruption,Quizapu,2,,,1912,,2,,0,,Observations: Reported,,,,,,,,-35.653,-70.761
357021,Maipo,11913,Confirmed Eruption,,2,?,,1912,,0,,0,,Observations: Reported,,,,,,,,-34.164,-69.832
357110,Llaima,12044,Confirmed Eruption,,2,,,1912,,0,,0,,Observations: Reported,,,,,,,,-38.692,-71.729
353050,"Negra, Sierra",11706,Confirmed Eruption,,,,,1911,,12,,31,365,Observations: Reported,,,,,,,,-0.83,-91.17
358020,Calbuco,12257,Confirmed Eruption,,2,,,1911,,0,,0,,Observations: Reported,,1912,,0,,0,,-41.33,-72.618
358070,"Burney, Monte",12329,Confirmed Eruption,,2,,,1910,,3,,0,,Observations: Reported,,,,,,,,-52.33,-73.4
357120,Villarrica,12142,Confirmed Eruption,,2,,,1909,,8,,19,,Observations: Reported,,1910,,0,,0,,-39.42,-71.93
358020,Calbuco,12256,Confirmed Eruption,,2,,,1909,,3,,0,,Observations: Reported,,,,,,,,-41.33,-72.618
357120,Villarrica,12141,Confirmed Eruption,,2,,,1908,,10,,31,,Observations: Reported,,1908,,12,?,12,,-39.42,-71.93
358063,Reclus,12312,Confirmed Eruption,,1,?,,1908,1,0,,0,,Observations: Reported,,,,,,,,-50.9395,-73.5802
352050,Cotopaxi,11590,Confirmed Eruption,,1,,,1908,,0,,0,,Observations: Reported,,1914,,0,,0,,-0.677,-78.436
357060,"Azul, Cerro",11953,Confirmed Eruption,Quizapu,2,,,1907,,7,,28,,Observations: Reported,,,,,,,,-35.653,-70.761
352050,Cotopaxi,11589,Confirmed Eruption,,2,,,1907,,6,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
357120,Villarrica,12140,Confirmed Eruption,,2,,,1907,,5,,5,4,Observations: Reported,,1907,,5,?,26,,-39.42,-71.93
358020,Calbuco,12255,Confirmed Eruption,,2,?,,1907,,4,,22,,Observations: Reported,,,,,,,,-41.33,-72.618
357140,Carran-Los Venados,12187,Confirmed Eruption,Riñinahue Maar,3,,,1907,,4,,9,,Observations: Reported,,1908,,2,>,0,,-40.35,-72.07
357010,Tupungatito,11895,Confirmed Eruption,,2,,,1907,,2,,15,,Observations: Reported,,,,,,,,-33.425,-69.797
357110,Llaima,12043,Confirmed Eruption,,2,,,1907,,0,,0,,Observations: Reported,,1908,,3,,0,,-38.692,-71.729
357070,"Chillan, Nevados de",11980,Confirmed Eruption,Volcán Nuevo,1,,,1907,,0,,0,,Observations: Reported,,,,,,,,-36.868,-71.378
354020,Ubinas,11630,Confirmed Eruption,,2,,,1907,,0,,0,,Observations: Reported,,,,,,,,-16.345,-70.8972
354020,Ubinas,11629,Confirmed Eruption,,2,,,1906,,10,,0,,Observations: Reported,,,,,,,,-16.345,-70.8972
352050,Cotopaxi,11588,Confirmed Eruption,,2,,,1906,,8,,21,,Observations: Reported,,1906,,9,,19,,-0.677,-78.436
357070,"Chillan, Nevados de",11979,Confirmed Eruption,Volcán Nuevo,2,,,1906,,8,,6,,Observations: Reported,,1906,,12,,0,,-36.868,-71.378
357120,Villarrica,12139,Confirmed Eruption,,2,,,1906,,4,,22,,Observations: Reported,,1906,,12,,0,,-39.42,-71.93
351060,Purace,11329,Confirmed Eruption,,2,,,1906,,0,,0,,Observations: Reported,,,,,,,,2.32,-76.4
358020,Calbuco,12254,Confirmed Eruption,,2,,,1906,,0,,0,,Observations: Reported,,,,,,,,-41.33,-72.618
358030,Huequi,12268,Confirmed Eruption,,2,,,1906,,0,,0,,Observations: Reported,,1907,,0,,0,,-42.377,-72.578
357060,"Azul, Cerro",11952,Confirmed Eruption,Quizapu,2,,,1906,,0,,0,,Observations: Reported,,,,,,,,-35.653,-70.761
357021,Maipo,11911,Confirmed Eruption,,2,,,1905,,10,,28,,Observations: Reported,,1905,,10,,30,,-34.164,-69.832
352050,Cotopaxi,11587,Confirmed Eruption,,2,,,1905,,0,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
357150,Puyehue-Cordon Caulle,12209,Confirmed Eruption,Cordón Caulle,2,,?,1905,,0,,0,,Observations: Reported,,,,,,,,-40.59,-72.117
357120,Villarrica,12138,Confirmed Eruption,,2,,,1904,,0,,0,,Observations: Reported,,,,,,,,-39.42,-71.93
353090,Santiago,11733,Confirmed Eruption,SE flank,0,,,1904,,0,,0,,Observations: Reported,,1906,,12,,15,45,-0.22,-90.77
352050,Cotopaxi,11586,Confirmed Eruption,,3,,,1903,,9,,26,,Observations: Reported,,1904,,12,,0,,-0.677,-78.436
357110,Llaima,12042,Confirmed Eruption,,2,,,1903,,5,,12,,Observations: Reported,,1903,,5,,14,,-38.692,-71.729
351060,Purace,11328,Confirmed Eruption,,2,,?,1902,,0,,0,,Observations: Reported,,,,,,,,2.32,-76.4
355100,Lascar,11854,Confirmed Eruption,,2,?,,1902,,0,,0,,Observations: Reported,,,,,,,,-23.37,-67.73
357120,Villarrica,21003,Confirmed Eruption,,2,?,,1902,,,,,,Sidereal: Varve Count,,,,,,,,-39.42,-71.93
357010,Tupungatito,11894,Confirmed Eruption,,2,,,1901,,4,,0,,Observations: Reported,,,,,,,,-33.425,-69.797
358030,Huequi,12267,Confirmed Eruption,,2,,,1900,,0,,0,,Observations: Reported,,,,,,,,-42.377,-72.578
351060,Purace,11327,Confirmed Eruption,,2,,,1899,,0,,0,,Observations: Reported,,,,,,,,2.32,-76.4
352010,Reventador,11434,Confirmed Eruption,,3,,,1898,,4,,8,,Observations: Reported,,1906,,0,,0,,-0.077,-77.656
355100,Lascar,11853,Confirmed Eruption,,2,,,1898,,0,,0,,Observations: Reported,?,1900,,0,,0,,-23.37,-67.73
357070,"Chillan, Nevados de",11978,Confirmed Eruption,Volcán Viejo,2,,,1898,,0,,0,,Observations: Reported,,,,,,,,-36.868,-71.378
357120,Villarrica,12137,Confirmed Eruption,,2,,,1897,,12,,1,30,Observations: Reported,,1898,,2,,1,30,-39.42,-71.93
351070,Dona Juana,11341,Confirmed Eruption,,4,,,1897,,11,,1,,Observations: Reported,,1906,,0,,0,,1.5,-76.936
357010,Tupungatito,11893,Confirmed Eruption,,2,,,1897,,1,,0,,Observations: Reported,,1897,,4,>,12,,-33.425,-69.797
